name_vacancy,salary,name_company,location_company,location_company_link,required_experience,busyness,description,key_skills,vacancy_url
Data engineer (DWH),з/п не указана,Сравни,"Площадь Ильича, Римская, Москва, бульвар Энтузиастов, 2",https://hh.ru/search/vacancy/map?vacancy_id=54451392&hhtmFrom=vacancy,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Прорабатывать архитектуру процессов загрузки хранилища и сопутствующей инфраструктуры. Разрабатывать новые и дорабатывать существующие фреймворки для работы с потоками данных в...Уверенное владение SQL. Промышленный опыт программирования на Python. Опыт работы с MPP-системами. Понимание методологий построения хранилищ данных. ,kafka Python MS SQL Kubernetes CI/CD API ETL DW,https://hh.ru/vacancy/54451392?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data Scientist/ML Engineer (Middle+),от 170 000 до 240 000 руб. на руки,DIGINETICA,Москва,,Требуемый опыт работы: 1–3 года,"Полная занятость, удаленная работа","AnyQuery — SaaS сервис AI поиска для eCommerce, обрабатывает миллиарды поисковых запросов на 250 интернет-магазинах (Ситилинк, ЦУМ, Эльдорадо, Спортмастер, Петрович, Азбука Вкуса и тд)У нас огромная экспертиза в машинном обучении, high load системах.В текущей команде около 60 человек, компания продолжает расти и ищет Data Scientist. Что надо делать:   Разрабатывать модели схожести запросов и товаров   Разрабатывать модели ранжирования   Разрабатывать модели исправления опечаток   Дорабатывать сервис метрик и производить анализ метрик   Анализировать поиск, выдвигать гипотезы по повышению качества поиска   Что нужно уметь :   Уметь писать готовый к production код (Python/опционально Cython)   Иметь математический бекграунд (профильное техническое/математическое образование, хорошее понимание мат.статистики, линейной алгебры)   Опыт работы с текстовыми данными или задачами поиска будет серьезным плюсом   Java/Scala/Elasticsearch/C++ будет плюсом   Почему нужно идти к нам?  Удаленную фултайм работу - нам не важно, из какой точки мира вы работаете, важен только результат.  Работу с настоящей командой из 60 профессионалов, готовых прийти на помощь.  Полностью белую заработную плату, оформление по тк.  У нас крутая продуктовая культура. Мы смогли за 2 года обогнать лучших мировых игроков по функционалу, за счет плотной работы с клиентами, быстрых MVP и точных решений   #B2B #AI #SaaS Enterprise - мы занимаемся очень перспективным бизнесом. За ним и настоящее и будущее. AI — этого становится все больше, растущий рынок, вам это пригодится. А SaaS любят потому, что хороший ретеншн и рациональное принятие решения об использовании.   У нас очень крутая школа и репутация - выпускники нашей команды работают в самом топе - Ebay Europe, Constructor IO, Microsoft Europe, Semrush, Lamoda, Yandex, AliExpress, RichRelevance.  Мы также заботимся о твоем метальном здоровье предлагаем скидки на услуги сервиса ""Ясно"" ",SCALA Java SQL Анализ данных Python Elasticsearch Cython Big Data С++ Tensorflow Pytorch SciPy Numpy Pandas Word2vec Xgboos,https://hh.ru/vacancy/54925189?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data Engineer,з/п не указана,билайн: ИТ и Digital,Москва,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Разработкой ETL процедур. Построением DWH. Миграцией данных.Знание SQL на продвинутом уровне. Знание bash/shell. Знание Apache Spark. Знание Apache Airflow.,Hadoop Hive Linux SQL PostgreSQ,https://hh.ru/vacancy/55189559?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data / ML Engineer (Персонализация),з/п не указана,"Компания «СПОРТМАСТЕР», Sportmaster Lab",Санкт-Петербург,,Требуемый опыт работы: 1–3 года,"Полная занятость, удаленная работа","Работа с большими данными на входе. Развитие культуры визуализации информации. Кросс-валидация по различным источникам. Формирование и ревью схемы данных...Опыт работы с Tableau. Хорошее знание SQL. Понимание ООП, design patterns. Опыт работы с Docker. Опыт работы с UNIX-based...",Python SQL ORACLE Oracle Pl/SQ,https://hh.ru/vacancy/55135245?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data engineer,от 50 000 руб. на руки,ООО Ранкс,Казань,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Мы создали RANKS.pro — Систему оценки инвестиционной привлекательности акций. Мы анализируем более 50 000 компаний по всему миру с помощью Data Science. Проект динамично развивается командой профессионалов, для реализации нового проекта мы ищем Data engineer, заинтересованных в быстром росте и долгосрочном сотрудничестве. Обязанности:  Регулярная загрузка данных через API Refinitive с помощью Python Обработка данных, устранение несовершенств данных, улучшение архитектуры баз данных Работа в связке с Data Science для выгрузки новых данных и тестирования гипотез Если есть желание - также возможно заниматься задачами Data Science  Требования:   Владение библиотеками питона: numpy, pandas, а также любых графических (matplotlib, seaborn, tkinter)  Опыт в Data Engineering Опыт работы с финансовыми инструментами фондовой биржи будет преимуществом Высшее образование (математическое/экономическое/техническое)  Условия:  Удалённая работа с официальным трудоустройством по ТК РФ или по контракту с НПД (самозанятые) Перспективы диктуются вашими амбициями и успехами Работа непосредственно с основателями IT-стартапа, обучение с наставником на начальном этапе   ",Python PostgreSQL Работа с базами данных Jupyter Notebook Инвестиционная деятельност,https://hh.ru/vacancy/55179666?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data Engineer,з/п не указана,Норникель,Москва,,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день",Разработкой ETL процедур. Построением DWH. Миграцией данных.Знание SQL на продвинутом уровне. Знание bash/shell. Знание Apache Spark. Знание Apache Airflow.,Hadoop Data Mining Python MATLAB RStudi,https://hh.ru/vacancy/54606545?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data Engineer,з/п не указана,ООО 7тек,Москва,,Требуемый опыт работы: 1–3 года,"Полная занятость, гибкий график",Чем предстоит заниматься :   разработкой ETL процедур;   построением DWH;   миграцией данных.     Наши ожидания от успешного кандидата:   знание SQL на продвинутом уровне;   знание bash/shell;   знание Apache Spark;   знание Apache Airflow.     Условия:  конкурентоспособная заработная плата по результатам собеседования; работа в крутой и динамичной компании рынка IT; возможность профессионального и карьерного развития; оформление в полном соответствии с ТК РФ +социальный пакет (ДМС + стоматология); интересные проекты; возможность удаленной работы. ,SQL ET,https://hh.ru/vacancy/55189245?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data engineer / Разработчик DWH / ETL developer,з/п не указана,Media Instinct Group,"Молодежная, Москва, Ярцевская улица, 19",https://hh.ru/search/vacancy/map?vacancy_id=55230597&hhtmFrom=vacancy,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Media Instinct Group приглашает на работу высококвалифицированных специалистов, которые заинтересованы в интересных и нестандартных задачах, профессиональном росте и дружном коллективе. Сейчас мы приглашаем кандидатов на позицию Data engeneer / разработчика DWH. Основные задачи:  разработка процедур загрузки данных из внешних и внутренних источников (преимущественно REST API), prefect; разработка и модификация БД с целью загрузки данных из внешних и внутренних источников, Microsoft SQL Server; организации витрин данных для аналитиков с помощью data build tool (dbt); составление технической документации по разрабатываемым витринам данных; коммуникация внутри команды.  Что мы хотим видеть у Вас:   Опыт работы от 2-х лет в похожей роли / с похожим функционалом;   Свободное знание SQL: процедуры, аналитические функции;   Знание деталей реализации СУБД: план запроса, физические виды соединений, хинты, секционирование, индексы, строковое и колоночное хранение;   Знание принципов и подходов к моделированию баз данных;   Опыт языка программирования Python;   Опыт командной разработки (Jira, Confluence, Git).   Будет плюсом опыт работы с инструментами:   prefect   dbt   liquibase   BigQuery   Условия:  Работа в стабильной и динамичной компании; Перспективы профессионального и личностного роста; Оформление согласно ТК РФ, белая ЗП; Социальный пакет (ДМС, бесплатный английский, фитнес); Работа в команде профессионалов;  Офис расположен в 5 минутах ходьбы от м. Молодежная;  Удобная бесплатная парковка в БЦ. ",SQL Pytho,https://hh.ru/vacancy/55230597?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data Engineer,з/п не указана,ООО ИНФОРИОН,"Преображенская площадь, Семеновская, Электрозаводская, Москва, Большая Семёновская улица, 43",https://hh.ru/search/vacancy/map?vacancy_id=55180800&hhtmFrom=vacancy,Требуемый опыт работы: 1–3 года,"Полная занятость, гибкий график","Ищем Data Engineer для участия в разработке высоконагруженных систем сбора, хранения и анализа данных, в частности системы автоматической генерации входных данных программ для достижения наибольшего покрытия их путей исполнения. В зависимости от Ваших навыков и опыта возможно участие по следующим направлениям:  разработка системы для сбора, хранения и распределённой обработки данных с использованием языка Kotlin, а также технологий Apache Spark, Apache Kafka; разработка модуля для анализа данных на Python с использованием машинного обучения и генетических алгоритмов.  Что Вам необходимо:  языки программирования: Python или Kotlin; знания в области машинного обучения; базовые знания линейной алгебры, теории вероятности и математического анализа; понимание основ ассемблера на уровне базовых команд.  Вашим плюсом будет:  знание: одного из фреймворков: TensorFlow, Pytorch, Keras и т.д.; методик/инструментов по автоматизированному поиску уязвимостей; алгоритмов и структур данных; стека сетевых протоколов; понимание генетических алгоритмов; знакомство с технологиями Apache Spark, Apache Kafka; знакомство с методами обратной разработки (IDA Pro/Ghidra/Radare2); опыт работы с git.  Мы предлагаем:  оформление по ТК РФ; гибридный гибкий рабочий график; офис в пешей доступности от метро Электрозаводская, Семеновская; ДМС с расширением ВЗР (страхование выезжающих за рубеж); зарплата по результатам собеседования, индивидуальный подход к премированию. ",Python Git Linux C++ Tensorflow Kotlin Apache Spark Apache Kafk,https://hh.ru/vacancy/55180800?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
"Head of Platform Engineering - Java, Big Data (to Canada/Serbia)",от 14 000 USD до вычета налогов,Behavox,Санкт-Петербург,,Требуемый опыт работы: более 6 лет,"Полная занятость, полный день","About Behavox Behavox is shaping the future for how businesses harness their most important raw material - data. Our mission is bold: Organize enterprise data into actionable information that protects and promotes the business growth of multinational companies around the world. From managing enterprise risk and compliance to maximizing revenue and value, our data operating platform presents a widespread opportunity to build multilingual, AI / ML - based solutions that activate data for every function within a global enterprise. Our approach is unique, and it’s validated by our customers who tell us to keep forging ahead because no one else is aggregating, analyzing, and acting on data to uncover opportunities or solve problems quite the way we are. We are looking for fearless innovators who have an insatiable appetite for building what no one has built before. About the Role As a Head of Platform engineering, you will lead 4 teams consisting of 20+ software engineers who are responsible for the design, development and operation of all back-end services. This includes data integration and ingestion, processing and application of NLP and machine learning model algorithms and Search. These back-end services are used by our product engineering teams to build and improve our 3 core product offerings which include Compliance, Insider Crime and Conduct. In 2022, we have decided to modernize and re-architect our core platform and move from a batch-based processing system (Hadoop) to a continuous event-based streaming system leveraging Kafka. The core technologies of the platform will include HDFS/Hadoop, Spark, Kafka, NoSQL (Hbase/Cassandra), and Elasticsearch. We primarily use Java with some python. The role reports to the CTO where you will have the opportunity to make a significant impact on the success of the company at a critical stage in our growth. This is also an incredible opportunity to discover the world of real-time data processing and the use of artificial intelligence at scale apply modern technologies. You will also play an active role leading the design, development and deployment of our next generation platform critical to our success. We are looking for a strong engineering leader who is a strategic and innovative problem solver with a passion for applying technology to solve real-world customer problems at scale. The ideal candidate is passionate about building high performance teams focused on quality, innovation and demonstrates excellent communication and organizational skills with an ability to connect with other engineers, as well as other leaders throughout the company. What You'll Bring  7+ years of hands-on software development experience in Java and experience with any other JVM-based language (Groovy, Kotlin, Scala) 5+ years leading highly technical and high performing engineering teams - People management (hiring and layoff), Performance management skills (coaching & mentoring) Proven track record of architecting and delivering complex technical projects to solve problems at scale especially distributed data platforms (Hadoop/Kafka/Elastic) A passion for recruiting, developing, mentoring and retaining a world-class engineering team Lean thinking mindset, comfortable with Agile planning and estimation rituals, flexible and able to thrive in a fast paced, innovative young company Fluent English  What You'll Do  Lead multiple teams of talented back-end software engineers to design, plan, develop and deploy improvements to back-end platform services related to data ingestion, data processing and analytics Propose and champion ideas to help finalize the architecture, design and technology stack and then lead implementation of the Next Generation architecture Collaborate broadly across the organization and with senior leadership and across disciplines to drive team and individual performance focused on clear outcomes and OKRs for their teams Foster adoption to best engineering practices across all aspects of software development to build, deploy, test and release large scale services with quality and agility whilst maintaining our current platform to ensure we continue to meet customer commitments Facilitate overall technology strategy, quarterly and yearly goals, drive engineering best practices, ownership of delivering on core outcomes  What We Offer  A truly global mission with a passionate community in locations all over the world Huge impact and learning potential as our aspirations require bold innovation Highly competitive compensation with 100% bonus pay already integrated Benefits include fully covered health coverage for employee and family Generous time-off policy and flexible work schedule Great relocation package and Work Permit Sponsorship for the candidate and his family (relocation to our main R&D center in Montreal is a MUST)  About Our Process We take Talent very seriously and we are building a community of extraordinary individuals working together in very high performing teams. We also know that the best Talent always has options so we believe that the process has to be a two way assessment - the company AND the candidate assessing the business needs alignment, the career next step alignment, and the cultural alignment. During the process we will begin by exploring the core factors regarding salary and location along with core experience and skills and values alignment. We will then deep dive explore the critical technical competencies we have identified for the role, and then we will deep dive in behavioural competencies. The most aligned candidate will then be asked to do a practical work task simulation activity so we can make sure that you will enjoy the kind of work the role requires, and this task will typically be presented and discussed with a group of colleagues and managers. Finally we will ask you to meet with a number of our senior leaders to make sure that you are making the most informed call possible. Please apply with your CV and cover letter in English. Our recruitment team won't be able to review the CVs in Russian. Please note that immediate relocation to Serbia is required, with further relocation to Canada (WP processing takes 6-12 months).",Английский — C1 — Продвинутый Java Big Data Teamleading Английский язык Recruitment Cassandra Hadoop Leadership Skills Spark Elasticsearch NoSQL Kafka Team management Teambuildin,https://hh.ru/vacancy/54346850?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
Data engineer,з/п не указана,ООО Актион Технологии,"Москва, 1-й Земельный переулок, 1",https://hh.ru/search/vacancy/map?vacancy_id=54765519&hhtmFrom=vacancy,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день","Не будем повторять то, что написано о нас на страничке «О компании». Там ты найдешь ответы на вопросы ""Кто мы?"", ""Почему сейчас ищем людей?"" и ""Что стратегически нами задумано?"", букв немного, вся суть передана, цифры говорят сами за себя! Какой человек нам нужен? Самостоятельный, убедительный, амбициозный, с лидерскими качествами (или умением сделать так, чтобы управлять не приходилось:) стремящийся к построению качественных процессов и, как следствие, качественному сбору, хранению и поставке данных. Что мы предлагаем:  Занимается созданием централизованной системы сбора и обработки данных Работать в компании, где тебя слышат и ценят твой вклад Влиять на технические решения и планомерно повышать качество сбора, хранения и поставки данных Работать с командой людей, умеющих принимать решения, амбициозных, увлеченных своим делом и проектом Разрабатывать востребованный продукт и получать четкий фидбэк от пользователей Решать амбициозные задачи Получить профессиональный рост (у нас есть тренинги, конференции, сильная команда, которая готова делиться знаниями и в которой можно быстро расти)  Немного о том, что уже сделали и что нам еще предстоит :) На текущий момент мы подготовили инфраструктуру на базе Hadoop и GreenPlum для загрузки, обработки и построения витрин данных. Описали и загрузили данные нескольких продуктов холдинга и приступили к описанию и загрузке следующих. Дальше планируем развивать и масштабировать инфраструктуру, запускать потоковое получение данных и увеличивать количество подключенных источников и доверие к данным. Что планируем сделать:   Загрузим все источники данных  Приведем data-flow между продуктами к целевому состоянию Устраним расхождение данных между продуктами Опишем все ключевые данные, как результат: есть data-каталог, описан flow данных  На практике это значит, что мы будем решать следующие задачи:   Контроль всех ключевых данных в холдинге за счет правильно выстроенной системы мониторинга и алертинга   Создание хранилища, из которого каждый новый отчет будет рождаться за “один день”   Настройка автоматического подключения событий   Загрузка данных из различных источников в Hadoop, как Batch, так и Stream   Обработка полученных данных - создание централизованной и прозрачной обработки данных   Структурирование и мониторинг потоков данных     Подготовка витрин данных для конечных пользователей   Что для нас важно в тебе:  Уверенные знания SQL и баз данных Знание одного из ЯП: Python, Scala, Java Знание основ ООП Опыт работы с системами контроля версий (Git)  Умение организовать процесс загрузки, обработки и доставки обработанных данных конечным потребителям   Высокий уровень самообучения   Не обязательно, но будет очень здорово, если:  Знаешь Open Source фреймворки Big Data: (Hadoop, MapReduce, Spark & Spark Streaming, Hive, Kafka) Знаком с Apache Nifi и Apache Airflow  Что есть у нас и чем готовы делиться:  Белая, своевременная и конкурентоспособная заработная плата ДМС (включая стоматологию) Удобное место для работы и современное “железо” (хочешь с яблоком, хочешь без) Гибкий график. Начало работы с 8 до 11 У нас не нужно приходить 5 дней в неделю в офис. Мы внутри команд сами определяем, когда туда приехать P.S.: А если ты совсем не хочешь посещать офис, то удалённый формат работы у нас тоже есть) Профессиональный рост (у нас есть внутреннее обучение, возможность посещать конференции и митапы, мы спонсируем)) Корпоративная библиотека (огромное количество профессиональной литературы - бери, читай, наслаждайся) ",,https://hh.ru/vacancy/54765519?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer
