name_vacancy,salary,name_company,location_company,location_company_link,required_experience,busyness,description,key_skills,vacancy_url

Junior product manager,от 40 000 руб. на руки,ООО ТайРай Франчайзинг,"Деловой центр, Москва, Пресненская набережная, 12",https://hh.ru/search/vacancy/map?vacancy_id=54971037&hhtmFrom=vacancy,Требуемый опыт работы: не требуется,"Полная занятость, полный день","Тайрай, современная сеть спа салонов России, ищет младшего продакта в дружную и креативную команду. Активного, ответственного, амбициозного и трудолюбивого, который жаждет погрузиться в работу с цифровыми продуктами. Нам не принципиально, есть ли у вас опыт. Это, конечно, плюс, но главное - желание развиваться. Пожалуйста, если откликаетесь на эту вакансию, напишите о себе - что вам нравится, чем увлекаетесь, что делали и хотите делать. Чем подробнее, тем лучше, нам важна, в первую очередь, ваша личность.   Нам нужен человек, который:  хочет узнавать новое; готов трудиться и развиваться; дружит с дизайном; умеет анализировать; готов общаться и узнавать опыт клиентов.  Чему мы научим и что нужно будет делать:  придумывать как будут выглядеть новые фичи и составлять вайфреймы; тестировать их на пользователях и делать выводы; анализировать ретеншн и другие показатели, строить гипотезы для их улучшения; работать в команде с дизайнером, разработчиками, аналитиком и маркетологами; и другое:)  Условия:  работа в активно развивающейся компании; оформление по ТК РФ; график работы: 5-2, с 10:00 до 19:00, либо с 11:00 до 20:00; заработная плата от 40 000 руб. зависит от вашего опыта.   ",Креативность Adobe Photoshop Дизайн CorelDRAW CorelDRAW Photo Draw Желание учиться новом,https://hh.ru/vacancy/54971037?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Junior product manager,от 25 000 руб. на руки,99 БАЛЛОВ,"Казань, улица Волкова, 59",https://hh.ru/search/vacancy/map?vacancy_id=55159738&hhtmFrom=vacancy,Требуемый опыт работы: не требуется,"Полная занятость, гибкий график","Привет! Мы команда онлайн-школы по подготовке к ОГЭ и ЕГЭ ""99 БАЛЛОВ"" За продуктом нашей школы стоит большая команда - талантливые, дерзкие, амбициозные. Каждый видит возможности для роста и получает поддержку в достижении результата. Мы доверяем команде, поэтому выбираем смелые решения, открытые коммуникации и работу в удовольствие. Любим продукт, который создаем, и ценим тех, кто вместе с нами идет к заветным целям! Наш IT-отдел находится в поиске младшего продакт-менеджера - генератора идей, координатора команды, человека, который будет в курсе всех нюансов работы систем нашего продукта. Если тебе интересна IT-сфера не со стороны разработки, а с точки зрения внутренней организации, налаживания эффективного взаимодействия внутри команды, управления продуктом - очень ждем к себе!Задачи, которые тебя ждут:  составление технических заданий для команды разработчиков; прототипирование пользовательских интерфейсов (UX/UI); помощь в проработке архитектуры и бизнес-логики новых фич; курирование процесса разработки, контроль сроков выполнения задач; организация технической поддержки пользователей (вторая линия - без прямого взаимодействия с клиентами).  Наши ожидания:  внимателен, подмечаешь детали и обладаешь открытым умом; возможно, у тебя нет опыта работы. но готов расти вместе с нами и нашим продуктом обладаешь базовыми знаниями PHP; понимаешь принципы работы Adobe Photoshop и Figma; знаком с дизайном интерфейсов сайтов и приложений.  Готовы предложить:  развитие в digital-сфере; интересные, разноплановые задачи, позволяющие максимально прокачивать скилы; гибкий график, удобный для совмещения с учебой.  Скорее оставляй отклик! Мы ждем тебя в команде ""99 БАЛЛОВ""",Figma Adobe Photoshop Управление проектами Управление персоналом PHP Прототипирование UI/U,https://hh.ru/vacancy/55159738?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Senior Product Manager (email & mobile push),от 300 000 руб. на руки,Mindbox,"Белорусская, Савёловская, Москва, улица Правды, 26",https://hh.ru/search/vacancy/map?vacancy_id=51114725&hhtmFrom=vacancy,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день","Product Management. Create new Product Portfolio line up, considering price- & market trends aligned with HQ guidance. Align roadmap cross-functionally. Product marketing experience from 5 years and more. Basic Business Competencies. Basic Product Management Knowledge. Ruthless (Objective) Prioritization Skills. ",Управление продуктом Product Management Деловая коммуникация Разработка нового продукта Навыки составления отчетност,https://hh.ru/vacancy/51114725?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Product manager,до 700 000 KZT до вычета налогов,ИП Галерея Новостроек,"Алматы, улица Толе Би, 83",https://hh.ru/search/vacancy/map?vacancy_id=55171268&hhtmFrom=vacancy,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день","Kaizen - маркетинговые услуги под ключ: - Разработка сайтов с нуля; - Графический дизайн; - Копирайтинг; - Видеомейкинг; - SMM-продвижение; - Запуск контекстной рекламы; - Нейминг и создание концепции. Кайдзен – это японская философия, фокусирующаяся на непрерывном совершенствовании жизненных и рабочих процессов. В нашей компании мы придерживаемся этой философии, чтобы постоянно улучшать нашу работу, взаимодействие с клиентами и сотрудниками. Для поднятия коллективного духа мы устраиваем тимбилдинги. Библиотека с профессиональной литературой, курсы по вашему профилю за счет компании, мастер-классы от сотрудников для всей команды – у нас невозможно не обучаться. За полтора года существования наше агентство увеличило штат в 4 раза, а портфолио пополнилось более чем 20 успешными масштабными кейсами, включая нашего основного партнера «Галерея Новостроек». Каждый сотрудник нашей компании любит свое дело, и это сказывается на всех рабочих процессах. Мы не работаем в маркетинге, мы им горим. У нас царит коллективный дух и мы ответственно заявляем – мы не просто сотрудники, мы – друзья. Если вам по-настоящему близка философия Kaizen и если вы хотите стать частью нашей большой и дружной семьи, то смело откликайтесь на нашу вакансию. Kaizen - философия совершенства. Мы предоставляем:  Офис в центре города с видом на горы; Возможности финансового и карьерного роста; Дружный и креативный коллектив; Прозрачный оклад; Профессиональную библиотеку; Обучение за счет компании; Личное рабочее место; Оплачиваемые переработки; График работы 5/2 с 10:00 до 19:00.  Обязанности:   Повышая качества продукта, повышать прибыль компании;   Проводить анализ рынка и тестировать свои гипотезы на целевой аудитории;   Проводить количественные (данные о посещениях сайта, узнаваемости бренда, конверсии страниц) и качественные исследования (опросы, глубинное интервью, наблюдение);  Координировать работу команды реализующую функционал продукта, его изменения, усовершенствования, устранение ошибок;  Выдвигать гипотезы по росту продаж и проверять их;   Разрабатывать и внедрять новые продукты;   Исследовать поведение пользователей используя аналитику и интервью;   Готовить продуктовые требования, работать над продуктом от идеи до внедрения;   Руководить процессом создания продукта.   Требования:  Опыт работы на аналогичной позиции от 3-х лет; Опыт работы в digital маркетинге; Опыт работы в первичной недвижимости будет плюсом; Опыт работы в IT будет плюсом; Финансовая подкованность; Стратегическое планирование; Аналитический склад ума; Многозадачность; Желание создавать новое, развиваться и быть в курсе последних трендов.  Для нас фраза «Командная работа» - не пустой звук. Мы ценим каждого сотрудника, вкладываем в него душу и знания, и ждем ответной реакции от соискателя.",Управление продуктом Управление проектами Менеджмент Инновационный менеджмент Риск-менеджмент Навыки презентаци,https://hh.ru/vacancy/55171268?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Product Manager (продакт-менеджер),от 150 000 до 250 000 руб. до вычета налогов,HIPER,"Серпуховская, Москва, Партийный переулок, 1к57с1",https://hh.ru/search/vacancy/map?vacancy_id=54108545&hhtmFrom=vacancy,Требуемый опыт работы: 3–6 лет,"Полная занятость, полный день","Компания HIPER, производитель потребительской электроники и электротехники, ищет продакт-менеджера на направление корпоративных продуктов IT. Нам нужен инициативный работоспособный человек, который откроет для компании новые категории товаров, уже имея опыт в них. Кандидат должен быстро, непредвзято, старательно находить, выбирать и внедрять новые продукты, работая с китайскими фабриками. Мы обещаем достойное вознаграждение, теплое отношение и интересную работу.   Обязанности:   Вывод продукта на рынок от стадии ""поиск в Китае"" до стадии ""соответствие требованиям корпоративного канала, федеральной розницы или широкого канала""   Соблюдение маржинальной политики компании   Конкурентный анализ, общий сбор данных по планируемому новому продукту, сверка спецификаций и точного внешнего вида, тестирование образцов планируемой продукции на соответствие, подготовка упаковки и сопутствующей документации (гарантийный талон, инструкция по эксплуатации, краткое руководство пользователя), подготовка сертификационных документов, подготовка мастер-боксов   Подготовка спецификаций по каждому новому продукту, освещение ключевых особенностей (key sales points) по каждому новому продукту   Подготовка прайс-листов по новым группам товаров и коррекция текущих  Контроль качества и сроков исполнения Мониторинг магазинов у ключевых клиентов (РРЦ, выкладка, количество магазинов, продающих конкретный артикул...) Мониторинг соответствия информации о продуктах (фото, спецификации) у наших партнеров, индексирующихся в Яндекс.Маркете Обучение и консультирование членов команды HIPER и партнеров по вопросам продукции Помощь в заполнении карточек товара для заведения в матрицу федеральных ритейлеров Ротация семплов по маркетингу и продажам (своевременный заказ семплов, контроль отгрузок golden samples из Китая, ведение таблицы учета семплов) Проверка пришедших семплов на соответствие заданным нормам качества перед передачей клиентам Проверка технической информации в маркетинговых материалах компании на соответствие (POSM, спецификации на сайте, презентации, пресс-релизы, обзоры и тп.) Участие в мероприятиях, проводимых компанией (выставки, семинары, тренинги) Пост-продажная поддержка: создание и пополнение FAQ по каждой группе товара, ответы на технические ответы пользователей, взаимодействие с сервисным центром по техническим вопросам. Анализ фидбэка пользователей. Возможные консультации клиентов по телефону    Требования:  Опыт работы продакт-менеджером (категорийным менеджером) от 3-х лет в IT-комлектующих или IT-решениях - ОБЯЗАТЕЛЬНО Инициативность - люди, которые обладают высокой квалификацией, но не обладают смелостью брать на себя решения и отстаивать их перед руководством, не интересны Образование: высшее Английский язык хорошего уровня Опыт анализа и планирования товарооборота, ассортиментного категорирования, опыт сертификации и тестирования продуктов, знание основ товароведения и маркетинга Трудоспособность - довольно большой объем работы    Условия:  Оплачиваемый больничный, отпуск Гибкий рабочий день с 9 до 18, 5/2 Фиксированная часть 100-150 т.р. + % ",Работоспособность Исполнительность Организованность Скрупулезность Инициативность Энергичност,https://hh.ru/vacancy/54108545?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

"Product manager (IT, B2B)",до 300 000 руб. на руки,ООО Интеллектуальные социальные системы,"Тульская, Москва, Новоданиловская набережная, 4А",https://hh.ru/search/vacancy/map?vacancy_id=54665741&hhtmFrom=vacancy,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Мы ищем амбициозного драйвера, лидера, владельца, который приведет к успеху один из наших продуктов. Мы создали сервис ""Паркоматика"", который позволяет автоматизировать управление автомобильными платежами (паркинг, платные дороги, штрафы и т.д.) в корпоративных автопарках. У нас уже более 500 B2B клиентов, среди которых - DHL, Роснефть, ВТБ, x5 retail group и др. Вам предстоит решать супер интересные задачи: формировать видение дальнейшего развития продукта, заниматься подготовкой продуктовых и инвестиционных презентаций, участвовать в питч-сессиях и рассчитывать unit-экономику. И, конечно, ставить задачи команде разработки, планировать спринты, проводить stand-up митинги и ретроспективы, формировать функциональные требования и в целом отвечать за результаты проекта. Наш человек:  Имеет опыт развития продуктов в сфере IT до стадий окупаемости, выхода на чистую прибыль; Знает, что такое CJM, custdev, retention, UML, JIRA, Agile, Scrum, Kanban и как это работает; Умеет проводить CustDev, качественные и количественные исследования, формировать фокус-группы, анализировать потребности пользователей; Работает не ради процесса, а ради результата.  Какие задачи необходимо будет решать ещё:  Участвовать в подготовке концептов, прототипов и макетов; Проектировать пользовательские сценарии; Наполнять беклог и приоритизировать фичи; Решать аналитические, технические и организационные задачи, искать подходящие решения, технологии совместно с СТО проекта; Управлять командой разработки (создавать спринты, вести проекты в Jira); Анализировать обратную связь от пользователей по проекту и планировать улучшения; Проводить презентации и демонстрации.  Что мы предлагаем:   Классная команда и общественно важные проекты   Гибкое начало рабочего дня   Полное соблюдение ТК РФ   Комфортный удобный офис в 10 минутах ходьбы от станции метро «Тульская»   Минимум формальностей и множество возможностей проявить себя   Компенсация обучения, участия в конференциях   Спортивные тренировки по кроссфиту, разговорный клуб английского в офисе   Запоминающиеся корпоративные мероприятия   Вкусный кофе, фрукты, снеки   Как устроен процесс:  Интервью проводится в 3 этапа: (1) HR, (2) Chief project officer, (3) СТО и СЕО   ",Agile Project Management Управление проектами Scrum Atlassian Jira Английский язык Product Management Управление персоналом Product Marketin,https://hh.ru/vacancy/54665741?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager

Product manager,от 120 000 руб. на руки,ООО Юнит,"Москва, Арбатско-Покровская линия, метро Бауманская",https://hh.ru/search/vacancy/map?vacancy_id=55124836&hhtmFrom=vacancy,Требуемый опыт работы: 1–3 года,"Полная занятость, полный день","Обязанности:   Формировать и проверять продуктовые гипотезы, проводить исследования   Обеспечивать непрерывное совершенствование продукта   Анализировать существующие решения и стратегии игроков на рынке, готовить аналитические отчеты. Определять набор ключевых конкурентных преимуществ и стратегии развития для наших продуктов с привязкой к конкурентам.   Формировать требования и технические задания на разработку и модификацию продуктов   Создавать новые продукты и сервисы “с нуля”   Собирать обратную связь с действующих пользователей продукта   Управлять процессом разработки нового продукта и развития функциональности   Организовать работу кросс-функциональной команды и рабочие процессы внутри нее   Наши ожидания:   Огромное желание создавать новые, крутые продукты с “0”, находясь в постоянной неопределенности и ограниченности ресурсов, при этом достигать результатов в развитии продукта.   Есть опыт создания и запуска продуктов, выведения больших фич / продуктов на рынок. Вы работали продуктовым аналитиком или продакт менеджером, менеджером проектов развития или менеджером программных продуктов.   Владение инструментарием и методологиями для продуктово-маркетинговых исследований, использование HADI-циклов, проведение конкурентных исследований. Опыт сбора и формализации требований CJM, USM, JTBD. Опыт участия в проектировании пользовательских интерфейсов.   Адаптивность. Вы способны быстро адаптироваться к изменениям, “слышите” обратную связь. Быстро реагируете на изменения, принимаете решения в условиях неопределенности.   Развито продуктовое и инновационное мышление. Умеете выделять ключевые приоритеты и метрики, понимаете рыночные и технологические тренды.   Отличные коммуникативные навыки. Необходимо строить отношения с различными командами и внешними партнерами, аргументировать точку зрения и быть убедительным. Умение убеждать и продавать идеи.   Мы предлагаем:   Интересные задачи и драйв   Сплоченная команда, заряженная на успех   Работа в Startup студии (Развиваем несколько проектов)   Офис в центре у м. Бауманская (24/7)   Работа в офисе / удаленно (нам важен результат)   Достойная оплата  ",Управление продуктом Разработка нового продукта Запуск новых продуктов Управление проектами Работа в команд,https://hh.ru/vacancy/55124836?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Product%20manager
